t,balanced_sigma,growth_rate,M_norm,parent_M_norm
0,0.12,0.0003,0.14267174424302712,1.836873417711883
1,0.12,0.0003,0.11224826904561684,1.836873417711883
2,0.12,0.0003,0.13263495351137258,1.836873417711883
3,0.12,0.0003,0.22258534946212807,1.836873417711883
4,0.12,0.0003,0.21406733284364057,1.836873417711883
5,0.12,0.0003,0.18641065819784441,1.836873417711883
6,0.12,0.0003,0.20677763078068792,1.836873417711883
7,0.12,0.0003,0.20033396962681496,1.836873417711883
8,0.12,0.0003,0.12449499850239697,1.836873417711883
9,0.12,0.0003,0.17441515551995473,1.836873417711883
10,0.12,0.0003,0.16498189390633158,1.836873417711883
11,0.12,0.0003,0.1898291403307926,1.836873417711883
12,0.12,0.0003,0.19155522463105704,1.836873417711883
13,0.12,0.0003,0.21675825790346007,1.836873417711883
14,0.12,0.0003,0.21771484894786877,1.836873417711883
15,0.12,0.0003,0.18937848865314572,1.836873417711883
16,0.12,0.0003,0.22663397785156134,1.836873417711883
17,0.12,0.0003,0.15863838968038405,1.836873417711883
18,0.12,0.0003,0.12931772380165238,1.836873417711883
19,0.12,0.0003,0.07284103883960574,1.836873417711883
20,0.12,0.0003,0.08579101259621967,1.836873417711883
21,0.12,0.0003,0.021519136201752203,1.836873417711883
22,0.12,0.0003,0.04164993061319877,1.836873417711883
23,0.12,0.0003,0.04633022951147347,1.836873417711883
24,0.12,0.0003,0.0,1.836873417711883
25,0.12,0.0003,0.04347521224663196,1.836873417711883
26,0.12,0.0003,0.054218230729063954,1.836873417711883
27,0.12,0.0003,0.04842111186422656,1.836873417711883
28,0.12,0.0003,0.10569335063394347,1.836873417711883
29,0.12,0.0003,0.14208581426687342,1.836873417711883
30,0.12,0.0003,0.1383702173526399,1.836873417711883
31,0.12,0.0003,0.14942699298386214,1.836873417711883
32,0.12,0.0003,0.15188780896657428,1.836873417711883
33,0.12,0.0003,0.15681131939437523,1.836873417711883
34,0.12,0.0003,0.14162667508419702,1.836873417711883
35,0.12,0.0003,0.1799903360539783,1.836873417711883
36,0.12,0.0003,0.218552872886606,1.836873417711883
37,0.12,0.0003,0.27842380779233455,1.836873417711883
38,0.12,0.0003,0.3142586701170119,1.836873417711883
39,0.12,0.0003,0.29815433405369096,1.836873417711883
40,0.12,0.0003,0.2215380339406448,1.836873417711883
41,0.12,0.0003,0.24070599779696839,1.836873417711883
42,0.12,0.0003,0.2684013336601207,1.836873417711883
43,0.12,0.0003,0.3194357789870101,1.836873417711883
44,0.12,0.0003,0.3582032767912414,1.836873417711883
45,0.12,0.0003,0.3995729148641088,1.836873417711883
46,0.12,0.0003,0.429230594036936,1.836873417711883
47,0.12,0.0003,0.4156077808610413,1.836873417711883
48,0.12,0.0003,0.46265842538010704,1.836873417711883
